Codigo;Nome;Area;Plantacao;Localizacao
1;Lote 1;25.00;Arroz;ilha Comprida
2;Lote 2;25.00;Arroz;ilha Comprida
3;Lote 3;50.00;Arroz;ilha Comprida
4;Lote 4;25.00;Arroz;ilha Comprida
5;Lote 5;25.00;Arroz;ilha Comprida
6;Lote 6;75.00;Arroz;ilha Comprida
7;Lote 7;75.00;Arroz;ilha Comprida
8;Lote 8;10.00;Arroz;ilha Comprida
9;Lote 9;30.00;Arroz;ilha Comprida
10;Lote 10;6.00;Arroz;ilha Comprida
11;Lote 11;250.00;Arroz;ilha Comprida
12;Lote 12;35.00;Arroz;ilha Comprida
13;Lote 13;2.00;Arroz;Iguape
14;Lote 14;4.00;Cafe;Iguape
15;Lote 15;12.00;Cafe;Iguape
16;Lote 16;55.00;Arroz;ilha Comprida
